,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
0,1217744A,2020,Terdthai Cricket Ground,Thailand,Nepal,13,2,38,4,15,3,66,9,Thailand,bat,Bangkok,Nepal
0,1217744B,2020,Terdthai Cricket Ground,Nepal,Thailand,72,1,0,0,0,0,72,1,Thailand,bat,Bangkok,Nepal
1,1268190A,2021,Marsa Sports Club,Malta,Belgium,27,2,43,4,44,2,114,8,Belgium,field,Marsa,Belgium
1,1268190B,2021,Marsa Sports Club,Belgium,Malta,37,4,56,1,22,0,115,5,Belgium,field,Marsa,Belgium
2,1257406A,2021,"Wanderers Cricket Ground, Windhoek",Namibia,Uganda,58,0,79,2,52,1,189,3,Namibia,bat,Windhoek,Namibia
2,1257406B,2021,"Wanderers Cricket Ground, Windhoek",Uganda,Namibia,29,2,77,3,18,3,124,8,Namibia,bat,Windhoek,Namibia
3,1336952A,2022,Sano International Cricket Ground,Japan,South Korea,63,1,110,3,45,4,218,8,Japan,bat,Sano,Japan
3,1336952B,2022,Sano International Cricket Ground,South Korea,Japan,48,3,98,2,24,1,170,6,Japan,bat,Sano,Japan
4,930579A,2015,Sheikh Zayed Stadium,Oman,Hong Kong,46,3,53,1,50,0,149,4,Hong Kong,field,Abu Dhabi,Hong Kong
4,930579B,2015,Sheikh Zayed Stadium,Hong Kong,Oman,41,2,86,0,28,0,155,2,Hong Kong,field,Abu Dhabi,Hong Kong
5,1142919A,2018,Harare Sports Club,Australia,Pakistan,54,0,93,3,36,5,183,8,Australia,bat,,Pakistan
5,1142919B,2018,Harare Sports Club,Pakistan,Australia,48,3,106,1,33,0,187,4,Australia,bat,,Pakistan
6,356012A,2009,Kennington Oval,Pakistan,Ireland,38,1,91,2,30,2,159,5,Pakistan,bat,London,Pakistan
6,356012B,2009,Kennington Oval,Ireland,Pakistan,37,1,61,3,22,5,120,9,Pakistan,bat,London,Pakistan
7,1168114A,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,64,1,97,3,49,2,210,6,Ireland,field,Dehra Dun,Afghanistan
7,1168114B,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,Afghanistan,66,1,87,3,25,3,178,7,Ireland,field,Dehra Dun,Afghanistan
8,1256724A,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,58,0,55,4,66,0,179,4,West Indies,bat,Bridgetown,West Indies
8,1256724B,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,56,2,68,4,38,4,162,10,West Indies,bat,Bridgetown,West Indies
9,1201668A,2019,La Manga Club Bottom Ground,Portugal,Spain,18,2,47,3,22,1,87,6,Spain,field,Murcia,Spain
9,1201668B,2019,La Manga Club Bottom Ground,Spain,Portugal,39,1,50,1,0,0,89,2,Spain,field,Murcia,Spain
10,356006A,2009,Lord's,India,West Indies,40,3,69,1,44,3,153,7,India,bat,London,West Indies
10,356006B,2009,Lord's,West Indies,India,32,1,83,2,41,0,156,3,India,bat,London,West Indies
11,800479A,2016,Newlands,England,South Africa,50,1,56,5,28,2,134,8,South Africa,field,Cape Town,South Africa
11,800479B,2016,Newlands,South Africa,England,35,2,63,2,37,3,135,7,South Africa,field,Cape Town,South Africa
12,1310942A,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,48,2,56,4,23,1,127,7,Zimbabwe,field,Bulawayo,Namibia
12,1310942B,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,37,2,47,3,11,4,95,9,Zimbabwe,field,Bulawayo,Namibia
13,1201683A,2019,Indian Association Ground,Zimbabwe,Nepal,43,2,87,1,30,1,160,4,Nepal,field,Singapore,Zimbabwe
13,1201683B,2019,Indian Association Ground,Nepal,Zimbabwe,39,3,55,3,26,3,120,9,Nepal,field,Singapore,Zimbabwe
14,1332507A,2022,"Willowmoore Park, Benoni",Botswana,Ghana,41,2,74,3,31,3,146,8,Ghana,field,Benoni,Botswana
14,1332507B,2022,"Willowmoore Park, Benoni",Ghana,Botswana,27,1,79,4,29,4,135,9,Ghana,field,Benoni,Botswana
15,540173A,2012,"Beausejour Stadium, Gros Islet",West Indies,Australia,38,1,82,2,30,3,150,6,West Indies,bat,St Lucia,Australia
15,540173B,2012,"Beausejour Stadium, Gros Islet",Australia,West Indies,52,1,77,1,24,0,153,2,West Indies,bat,St Lucia,Australia
16,875541A,2015,"The Village, Malahide",Afghanistan,Hong Kong,41,1,79,2,41,4,161,7,Afghanistan,bat,Dublin,Hong Kong
16,875541B,2015,"The Village, Malahide",Hong Kong,Afghanistan,37,1,76,2,49,2,162,5,Afghanistan,bat,Dublin,Hong Kong
17,287878A,2007,Kingsmead,India,Australia,36,1,105,2,47,2,188,5,India,bat,Durban,India
17,287878B,2007,Kingsmead,Australia,India,37,1,111,2,25,4,173,7,India,bat,Durban,India
18,1299579A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Philippines,49,2,91,1,51,2,191,5,Bahrain,bat,Al Amarat,Bahrain
18,1299579B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Bahrain,29,2,49,5,22,2,100,9,Bahrain,bat,Al Amarat,Bahrain
19,1072206A,2016,ICC Academy,Afghanistan,United Arab Emirates,41,0,57,4,63,2,161,6,Afghanistan,bat,Dubai,Afghanistan
19,1072206B,2016,ICC Academy,United Arab Emirates,Afghanistan,40,1,80,4,30,2,150,7,Afghanistan,bat,Dubai,Afghanistan
20,1130747A,2018,Sylhet International Cricket Stadium,Sri Lanka,Bangladesh,63,0,95,2,52,2,210,4,Bangladesh,field,,Sri Lanka
20,1130747B,2018,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,40,3,80,3,15,3,135,9,Bangladesh,field,,Sri Lanka
21,546462A,2012,Dubai International Cricket Stadium,Canada,Ireland,35,1,41,5,30,2,106,8,Canada,bat,,Ireland
21,546462B,2012,Dubai International Cricket Stadium,Ireland,Canada,82,0,27,0,0,0,109,0,Canada,bat,,Ireland
22,1152840A,2019,Sophia Gardens,Pakistan,England,38,2,99,2,36,2,173,6,Pakistan,bat,Cardiff,England
22,1152840B,2019,Sophia Gardens,England,Pakistan,48,1,89,2,38,0,175,3,Pakistan,bat,Cardiff,England
23,1199502A,2019,Sheikh Zayed Stadium,United Arab Emirates,Oman,30,3,51,2,27,4,108,9,Oman,field,Abu Dhabi,Oman
23,1199502B,2019,Sheikh Zayed Stadium,Oman,United Arab Emirates,32,1,61,2,16,0,109,3,Oman,field,Abu Dhabi,Oman
24,1275274A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Luxembourg,Hungary,54,0,80,2,45,3,179,5,Hungary,field,Ilfov County,Luxembourg
24,1275274B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,Luxembourg,46,1,93,4,38,3,177,8,Hungary,field,Ilfov County,Luxembourg
25,1322338A,2022,"Hagley Oval, Christchurch",New Zealand,Bangladesh,54,1,107,1,47,3,208,5,Bangladesh,field,Christchurch,New Zealand
25,1322338B,2022,"Hagley Oval, Christchurch",Bangladesh,New Zealand,52,2,83,4,25,1,160,7,Bangladesh,field,Christchurch,New Zealand
26,439507A,2010,Dubai International Cricket Stadium,Afghanistan,Netherlands,37,3,52,3,39,3,128,9,Netherlands,field,,Netherlands
26,439507B,2010,Dubai International Cricket Stadium,Netherlands,Afghanistan,47,0,66,3,19,2,132,5,Netherlands,field,,Netherlands
27,1199516A,2019,Sheikh Zayed Stadium,Canada,Nigeria,44,2,66,3,49,1,159,6,Canada,bat,Abu Dhabi,Canada
27,1199516B,2019,Sheikh Zayed Stadium,Nigeria,Canada,28,2,69,5,12,1,109,8,Canada,bat,Abu Dhabi,Canada
28,298804A,2008,New Wanderers Stadium,West Indies,South Africa,31,2,60,4,40,1,131,7,South Africa,field,Johannesburg,South Africa
28,298804B,2008,New Wanderers Stadium,South Africa,West Indies,38,3,51,3,45,0,134,6,South Africa,field,Johannesburg,South Africa
29,1299592A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,50,2,79,2,49,1,178,5,Ireland,field,Al Amarat,United Arab Emirates
29,1299592B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,67,2,72,2,26,3,165,7,Ireland,field,Al Amarat,United Arab Emirates
30,1197507A,2019,United Cricket Club Ground,Namibia,Botswana,58,0,76,4,59,0,193,4,Botswana,field,Windhoek,Namibia
30,1197507B,2019,United Cricket Club Ground,Botswana,Namibia,21,1,54,3,25,1,100,5,Botswana,field,Windhoek,Namibia
31,440946A,2010,Dubai International Cricket Stadium,England,Pakistan,39,1,71,0,38,4,148,5,Pakistan,field,,Pakistan
31,440946B,2010,Dubai International Cricket Stadium,Pakistan,England,39,2,79,3,31,1,149,6,Pakistan,field,,Pakistan
32,1283045A,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Tanzania,25,0,46,6,28,0,99,6,Sierra Leone,bat,Kigali City,Tanzania
32,1283045B,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Sierra Leone,67,0,37,2,0,0,104,2,Sierra Leone,bat,Kigali City,Tanzania
33,1283051A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Botswana,44,3,68,3,31,4,143,10,Tanzania,bat,Kigali City,Tanzania
33,1283051B,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Tanzania,46,0,54,3,40,4,140,7,Tanzania,bat,Kigali City,Tanzania
34,1332498A,2022,"Willowmoore Park, Benoni",Ghana,Mozambique,33,1,94,1,27,2,154,4,Ghana,bat,Benoni,Ghana
34,1332498B,2022,"Willowmoore Park, Benoni",Mozambique,Ghana,25,1,68,3,33,0,126,4,Ghana,bat,Benoni,Ghana
35,306989A,2007,Gymkhana Club Ground,Pakistan,Bangladesh,67,0,82,4,42,3,191,7,Bangladesh,field,Nairobi,Pakistan
35,306989B,2007,Gymkhana Club Ground,Bangladesh,Pakistan,68,1,68,4,25,1,161,6,Bangladesh,field,Nairobi,Pakistan
36,1286667A,2021,"Coolidge Cricket Ground, Antigua",Belize,United States of America,24,2,30,2,10,4,64,8,United States of America,field,Coolidge,United States of America
36,1286667B,2021,"Coolidge Cricket Ground, Antigua",United States of America,Belize,68,0,0,0,0,0,68,0,United States of America,field,Coolidge,United States of America
37,1310177A,2022,Marsa Sports Club,Czech Republic,Bulgaria,84,0,115,0,59,2,258,2,Czech Republic,bat,Marsa,Czech Republic
37,1310177B,2022,Marsa Sports Club,Bulgaria,Czech Republic,47,0,95,1,28,5,170,6,Czech Republic,bat,Marsa,Czech Republic
38,1310163A,2022,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,27,1,60,1,33,5,120,7,Norway,bat,Almeria,Guernsey
38,1310163B,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Norway,36,1,65,1,25,0,126,2,Norway,bat,Almeria,Guernsey
39,1286673A,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",United States of America,Bermuda,57,2,84,4,31,4,172,10,United States of America,bat,North Sound,United States of America
39,1286673B,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Bermuda,United States of America,34,2,92,5,23,1,149,8,United States of America,bat,North Sound,United States of America
40,1272094A,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,36,0,71,4,34,2,141,6,Bangladesh,bat,Dhaka,Bangladesh
40,1272094B,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,28,2,66,3,43,0,137,5,Bangladesh,bat,Dhaka,Bangladesh
41,1310188A,2022,"College Field, St Peter Port",Jersey,Guernsey,56,1,65,3,57,0,178,4,Guernsey,field,St Peter Port,Jersey
41,1310188B,2022,"College Field, St Peter Port",Guernsey,Jersey,38,2,71,2,32,2,141,6,Guernsey,field,St Peter Port,Jersey
42,1283092A,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,8,2,39,3,37,0,84,5,Sierra Leone,bat,Lagos,Nigeria
42,1283092B,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,37,0,48,0,0,0,85,0,Sierra Leone,bat,Lagos,Nigeria
43,534235A,2012,Edgbaston,England,South Africa,50,2,68,3,0,0,118,5,South Africa,field,Birmingham,England
43,534235B,2012,Edgbaston,South Africa,England,51,2,39,3,0,0,90,5,South Africa,field,Birmingham,England
44,1185315A,2020,SuperSport Park,South Africa,England,64,0,110,3,48,3,222,6,South Africa,bat,Centurion,England
44,1185315B,2020,SuperSport Park,England,South Africa,62,1,108,3,56,1,226,5,South Africa,bat,Centurion,England
45,914223A,2016,Seddon Park,Pakistan,New Zealand,34,1,93,2,41,4,168,7,Pakistan,bat,Hamilton,New Zealand
45,914223B,2016,Seddon Park,New Zealand,Pakistan,59,0,89,0,23,0,171,0,Pakistan,bat,Hamilton,New Zealand
46,534208A,2012,Trent Bridge,West Indies,England,29,2,80,2,63,0,172,4,West Indies,bat,Nottingham,England
46,534208B,2012,Trent Bridge,England,West Indies,42,1,96,0,35,2,173,3,West Indies,bat,Nottingham,England
47,802327A,2014,P Sara Oval,Nepal,Hong Kong,17,4,19,3,36,2,72,9,Hong Kong,field,Colombo,Hong Kong
47,802327B,2014,P Sara Oval,Hong Kong,Nepal,12,2,38,4,23,1,73,7,Hong Kong,field,Colombo,Hong Kong
48,1185314A,2020,Kingsmead,England,South Africa,55,1,81,4,68,2,204,7,South Africa,field,Durban,England
48,1185314B,2020,Kingsmead,South Africa,England,69,0,86,3,47,3,202,6,South Africa,field,Durban,England
49,1283093A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,17,1,69,7,4,2,90,10,Nigeria,bat,Lagos,Nigeria
49,1283093B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,17,4,50,1,4,4,71,9,Nigeria,bat,Lagos,Nigeria
50,1310162A,2022,"Desert Springs Cricket Ground, Almeria",Spain,Norway,21,2,75,1,33,3,129,6,Spain,bat,Almeria,Spain
50,1310162B,2022,"Desert Springs Cricket Ground, Almeria",Norway,Spain,23,2,34,5,21,1,78,8,Spain,bat,Almeria,Spain
51,1272095A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,40,1,48,2,40,0,128,3,New Zealand,bat,Dhaka,New Zealand
51,1272095B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,30,2,36,4,10,2,76,8,New Zealand,bat,Dhaka,New Zealand
52,1286672A,2021,"Coolidge Cricket Ground, Antigua",Belize,Panama,30,2,75,2,38,4,143,8,Belize,bat,Coolidge,Belize
52,1286672B,2021,"Coolidge Cricket Ground, Antigua",Panama,Belize,39,1,56,4,36,3,131,8,Belize,bat,Coolidge,Belize
53,1203678A,2020,"Warner Park, St Kitts",Ireland,West Indies,61,1,61,6,16,2,138,9,West Indies,field,Basseterre,West Indies
53,1203678B,2020,"Warner Park, St Kitts",West Indies,Ireland,57,0,83,1,0,0,140,1,West Indies,field,Basseterre,West Indies
54,1310176A,2022,Marsa Sports Club,Malta,Czech Republic,56,1,80,1,28,5,164,7,Czech Republic,field,Marsa,Malta
54,1310176B,2022,Marsa Sports Club,Czech Republic,Malta,54,1,67,5,41,2,162,8,Czech Republic,field,Marsa,Malta
55,1283050A,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Sierra Leone,30,4,38,2,21,2,89,8,Cameroon,bat,Kigali City,Sierra Leone
55,1283050B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Cameroon,30,3,60,1,0,0,90,4,Cameroon,bat,Kigali City,Sierra Leone
56,1283044A,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Cameroon,61,0,117,2,31,3,209,5,Cameroon,field,Kigali City,Mozambique
56,1283044B,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Mozambique,24,6,14,3,0,0,38,9,Cameroon,field,Kigali City,Mozambique
57,1327269A,2022,Dubai International Cricket Stadium,Sri Lanka,Afghanistan,41,1,36,6,28,1,105,8,Afghanistan,field,Dubai,Afghanistan
57,1327269B,2022,Dubai International Cricket Stadium,Afghanistan,Sri Lanka,83,0,23,2,0,0,106,2,Afghanistan,field,Dubai,Afghanistan
58,1299593A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,43,3,64,1,28,2,135,6,Nepal,field,Al Amarat,Nepal
58,1299593B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,33,2,72,1,32,1,137,4,Nepal,field,Al Amarat,Nepal
59,1144992A,2018,Sydney Cricket Ground,Australia,India,49,0,71,3,44,1,164,4,Australia,bat,,India
59,1144992B,2018,Sydney Cricket Ground,India,Australia,67,0,58,3,43,0,168,3,Australia,bat,,India
60,1199517A,2019,ICC Academy,Namibia,Scotland,40,1,71,2,48,2,159,5,Namibia,bat,Dubai,Namibia
60,1199517B,2019,ICC Academy,Scotland,Namibia,34,2,64,4,37,2,135,8,Namibia,bat,Dubai,Namibia
61,1275275A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,Malta,66,1,95,2,41,5,202,8,Malta,field,Ilfov County,Romania
61,1275275B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,Romania,60,0,66,4,40,4,166,8,Malta,field,Ilfov County,Romania
62,1199503A,2019,ICC Academy,Bermuda,Papua New Guinea,33,3,51,3,5,2,89,8,Papua New Guinea,field,Dubai,Papua New Guinea
62,1199503B,2019,ICC Academy,Papua New Guinea,Bermuda,47,0,43,0,0,0,90,0,Papua New Guinea,field,Dubai,Papua New Guinea
63,1322339A,2022,"Hagley Oval, Christchurch",Bangladesh,Pakistan,41,2,97,1,35,3,173,6,Bangladesh,bat,Christchurch,Pakistan
63,1322339B,2022,"Hagley Oval, Christchurch",Pakistan,Bangladesh,46,0,91,2,40,1,177,3,Bangladesh,bat,Christchurch,Pakistan
64,1303308A,2022,"The Village, Malahide, Dublin",India,Ireland,54,1,129,0,42,6,225,7,India,bat,Dublin,India
64,1303308B,2022,"The Village, Malahide, Dublin",Ireland,India,73,1,101,3,47,1,221,5,India,bat,Dublin,India
65,1130746A,2018,"Shere Bangla National Stadium, Mirpur",Bangladesh,Sri Lanka,71,1,83,1,39,2,193,4,Bangladesh,bat,Dhaka,Sri Lanka
65,1130746B,2018,"Shere Bangla National Stadium, Mirpur",Sri Lanka,Bangladesh,67,1,114,3,13,0,194,4,Bangladesh,bat,Dhaka,Sri Lanka
66,1072207A,2016,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,56,1,64,1,59,1,179,3,United Arab Emirates,bat,,Afghanistan
66,1072207B,2016,Dubai International Cricket Stadium,Afghanistan,United Arab Emirates,55,1,85,4,43,0,183,5,United Arab Emirates,bat,,Afghanistan
67,546477A,2012,Dubai International Cricket Stadium,Afghanistan,Ireland,55,2,63,2,34,3,152,7,Afghanistan,bat,,Ireland
67,546477B,2012,Dubai International Cricket Stadium,Ireland,Afghanistan,62,2,75,2,19,1,156,5,Afghanistan,bat,,Ireland
68,1299578A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Canada,31,1,72,3,28,1,131,5,Canada,field,Al Amarat,Canada
68,1299578B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Germany,40,1,64,1,28,2,132,4,Canada,field,Al Amarat,Canada
69,489212A,2011,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,47,0,71,2,32,4,150,6,West Indies,bat,St Lucia,West Indies
69,489212B,2011,"Beausejour Stadium, Gros Islet",Pakistan,West Indies,47,2,63,5,33,2,143,9,West Indies,bat,St Lucia,West Indies
70,1142501A,2018,Hazelaarweg,Netherlands,Ireland,52,2,65,3,27,4,144,9,Ireland,field,Rotterdam,Netherlands
70,1142501B,2018,Hazelaarweg,Ireland,Netherlands,34,2,57,5,49,1,140,8,Ireland,field,Rotterdam,Netherlands
71,287879A,2007,New Wanderers Stadium,India,Pakistan,40,2,74,2,43,1,157,5,India,bat,Johannesburg,India
71,287879B,2007,New Wanderers Stadium,Pakistan,India,53,3,51,4,48,3,152,10,India,bat,Johannesburg,India
72,951353A,2016,M Chinnaswamy Stadium,India,Bangladesh,42,1,72,3,32,2,146,6,Bangladesh,field,Bangalore,India
72,951353B,2016,M Chinnaswamy Stadium,Bangladesh,India,45,1,68,4,32,4,145,9,Bangladesh,field,Bangalore,India
73,298795A,2007,New Wanderers Stadium,New Zealand,South Africa,39,2,58,3,32,1,129,6,South Africa,field,Johannesburg,South Africa
73,298795B,2007,New Wanderers Stadium,South Africa,New Zealand,40,2,69,2,22,2,131,6,South Africa,field,Johannesburg,South Africa
74,951347A,2016,M Chinnaswamy Stadium,Bangladesh,Australia,33,2,75,2,48,0,156,4,Australia,field,Bangalore,Australia
74,951347B,2016,M Chinnaswamy Stadium,Australia,Bangladesh,51,0,84,4,22,3,157,7,Australia,field,Bangalore,Australia
75,439499A,2010,Dubai International Cricket Stadium,Canada,Kenya,37,2,68,2,33,5,138,9,Kenya,field,,Kenya
75,439499B,2010,Dubai International Cricket Stadium,Kenya,Canada,76,0,65,0,0,0,141,0,Kenya,field,,Kenya
76,1077948A,2017,"Queen's Park Oval, Port of Spain",Pakistan,West Indies,33,1,58,5,41,3,132,9,West Indies,field,Trinidad,Pakistan
76,1077948B,2017,"Queen's Park Oval, Port of Spain",West Indies,Pakistan,35,1,60,4,34,2,129,7,West Indies,field,Trinidad,Pakistan
77,1332506A,2022,"Willowmoore Park, Benoni",Cameroon,Kenya,25,1,23,8,0,0,48,9,Kenya,field,Benoni,Kenya
77,1332506B,2022,"Willowmoore Park, Benoni",Kenya,Cameroon,50,1,0,0,0,0,50,1,Kenya,field,Benoni,Kenya
78,1201682A,2019,Indian Association Ground,Singapore,Zimbabwe,62,0,98,5,21,4,181,9,Singapore,bat,Singapore,Singapore
78,1201682B,2019,Indian Association Ground,Zimbabwe,Singapore,64,2,101,2,12,3,177,7,Singapore,bat,Singapore,Singapore
79,1201669A,2019,La Manga Club Bottom Ground,Gibraltar,Portugal,41,1,43,3,29,1,113,5,Gibraltar,bat,Murcia,Portugal
79,1201669B,2019,La Manga Club Bottom Ground,Portugal,Gibraltar,26,2,57,2,33,0,116,4,Gibraltar,bat,Murcia,Portugal
80,350476A,2009,SuperSport Park,South Africa,Australia,36,2,83,2,37,1,156,5,Australia,field,Centurion,South Africa
80,350476B,2009,SuperSport Park,Australia,South Africa,42,2,64,4,33,2,139,8,Australia,field,Centurion,South Africa
81,356007A,2009,Kennington Oval,South Africa,West Indies,54,1,97,2,32,4,183,7,West Indies,field,London,South Africa
81,356007B,2009,Kennington Oval,West Indies,South Africa,45,2,88,3,30,4,163,9,West Indies,field,London,South Africa
82,560922A,2012,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,43,1,81,3,53,1,177,5,West Indies,bat,Lauderhill,West Indies
82,560922B,2012,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,33,3,61,5,22,2,116,10,West Indies,bat,Lauderhill,West Indies
83,356013A,2009,Trent Bridge,Sri Lanka,New Zealand,51,2,73,1,34,1,158,4,Sri Lanka,bat,Nottingham,Sri Lanka
83,356013B,2009,Trent Bridge,New Zealand,Sri Lanka,46,2,56,7,8,1,110,10,Sri Lanka,bat,Nottingham,Sri Lanka
84,682937A,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,58,2,62,4,25,3,145,9,Netherlands,field,Chittagong,South Africa
84,682937B,2014,Zahur Ahmed Chowdhury Stadium,Netherlands,South Africa,63,1,65,5,11,2,139,8,Netherlands,field,Chittagong,South Africa
85,1336953A,2022,Sano International Cricket Ground,Indonesia,Japan,24,3,43,3,16,4,83,10,Indonesia,bat,Sano,Japan
85,1336953B,2022,Sano International Cricket Ground,Japan,Indonesia,63,3,21,2,0,0,84,5,Indonesia,bat,Sano,Japan
86,1142918A,2018,Harare Sports Club,Zimbabwe,Australia,44,3,70,1,37,5,151,9,Zimbabwe,bat,,Australia
86,1142918B,2018,Harare Sports Club,Australia,Zimbabwe,35,2,93,0,26,3,154,5,Zimbabwe,bat,,Australia
87,1268191A,2021,Marsa Sports Club,Belgium,Malta,34,3,61,3,33,1,128,7,Belgium,bat,Marsa,Malta
87,1268191B,2021,Marsa Sports Club,Malta,Belgium,30,3,65,2,30,2,125,7,Belgium,bat,Marsa,Malta
88,1217745A,2020,Terdthai Cricket Ground,Singapore,Hong Kong,59,1,67,2,42,2,168,5,Singapore,bat,Bangkok,Singapore
88,1217745B,2020,Terdthai Cricket Ground,Hong Kong,Singapore,46,2,72,3,34,3,152,8,Singapore,bat,Bangkok,Singapore
89,682923A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa,51,2,77,2,37,3,165,7,Sri Lanka,bat,Chittagong,Sri Lanka
89,682923B,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Sri Lanka,40,1,80,3,40,4,160,8,Sri Lanka,bat,Chittagong,Sri Lanka
90,636538A,2014,"Kensington Oval, Bridgetown",England,West Indies,64,0,61,3,40,3,165,6,England,bat,Barbados,England
90,636538B,2014,"Kensington Oval, Bridgetown",West Indies,England,35,3,78,2,47,2,160,7,England,bat,Barbados,England
91,1336951A,2022,Sano International Cricket Ground,Indonesia,South Korea,46,2,65,0,19,4,130,6,South Korea,field,Sano,Indonesia
91,1336951B,2022,Sano International Cricket Ground,South Korea,Indonesia,29,4,37,6,0,0,66,10,South Korea,field,Sano,Indonesia
92,682935A,2014,Shere Bangla National Stadium,West Indies,Bangladesh,36,0,87,2,48,5,171,7,Bangladesh,field,Mirpur,West Indies
92,682935B,2014,Shere Bangla National Stadium,Bangladesh,West Indies,29,3,48,5,21,2,98,10,Bangladesh,field,Mirpur,West Indies
93,682921A,2014,Shere Bangla National Stadium,Pakistan,India,34,1,66,3,30,3,130,7,India,field,Mirpur,India
93,682921B,2014,Shere Bangla National Stadium,India,Pakistan,38,0,76,3,17,0,131,3,India,field,Mirpur,India
94,1257405A,2021,"Wanderers Cricket Ground, Windhoek",Namibia,Uganda,30,3,70,1,34,2,134,6,Namibia,bat,Windhoek,Namibia
94,1257405B,2021,"Wanderers Cricket Ground, Windhoek",Uganda,Namibia,19,3,46,1,0,0,65,4,Namibia,bat,Windhoek,Namibia
95,1217747A,2020,Terdthai Cricket Ground,Malaysia,Hong Kong,41,1,58,3,33,2,132,6,Malaysia,bat,Bangkok,Hong Kong
95,1217747B,2020,Terdthai Cricket Ground,Hong Kong,Malaysia,39,0,66,1,28,1,133,2,Malaysia,bat,Bangkok,Hong Kong
96,356005A,2009,Lord's,Sri Lanka,Pakistan,65,0,63,3,22,3,150,6,Sri Lanka,bat,London,Sri Lanka
96,356005B,2009,Lord's,Pakistan,Sri Lanka,36,3,67,2,28,4,131,9,Sri Lanka,bat,London,Sri Lanka
97,682909A,2014,Sylhet Stadium,Netherlands,Zimbabwe,38,3,65,1,37,0,140,4,Netherlands,bat,,Zimbabwe
97,682909B,2014,Sylhet Stadium,Zimbabwe,Netherlands,37,1,64,2,45,2,146,5,Netherlands,bat,,Zimbabwe
98,356011A,2009,Kennington Oval,England,West Indies,49,1,73,2,39,1,161,4,England,bat,London,West Indies
98,356011B,2009,Kennington Oval,West Indies,England,51,5,31,0,0,0,82,5,England,bat,London,West Indies
99,685727A,2013,New Wanderers Stadium,South Africa,Pakistan,60,0,51,4,42,3,153,7,Pakistan,field,Johannesburg,South Africa
99,685727B,2013,New Wanderers Stadium,Pakistan,South Africa,40,1,20,1,0,0,60,2,Pakistan,field,Johannesburg,South Africa
