,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1348,1197524A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Nepal,51,2,58,3,24,5,133,10,Nepal,field,Al Amarat,Nepal
1348,1197524B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Netherlands,25,1,66,1,43,1,134,3,Nepal,field,Al Amarat,Nepal
1349,531636A,2012,Dubai International Cricket Stadium,England,Pakistan,46,1,78,2,26,2,150,5,England,bat,,England
1349,531636B,2012,Dubai International Cricket Stadium,Pakistan,England,33,4,67,3,12,3,112,10,England,bat,,England
1350,902649A,2015,Dubai International Cricket Stadium,England,Pakistan,40,3,73,1,47,1,160,5,England,bat,,England
1350,902649B,2015,Dubai International Cricket Stadium,Pakistan,England,32,3,82,5,32,2,146,10,England,bat,,England
1351,883343A,2015,VRA Ground,Netherlands,Nepal,42,1,81,0,49,3,172,4,Nepal,field,Amstelveen,Netherlands
1351,883343B,2015,VRA Ground,Nepal,Netherlands,29,3,29,5,11,1,69,9,Nepal,field,Amstelveen,Netherlands
1352,1199521A,2019,Tolerance Oval,Nigeria,Oman,22,0,34,5,15,4,71,9,Nigeria,bat,Abu Dhabi,Oman
1352,1199521B,2019,Tolerance Oval,Oman,Nigeria,68,2,4,1,0,0,72,3,Nigeria,bat,Abu Dhabi,Oman
1353,1257948A,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,Netherlands,60,1,106,3,40,2,206,6,Nepal,bat,Kirtipur,Netherlands
1353,1257948B,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,Nepal,71,1,83,2,55,3,209,6,Nepal,bat,Kirtipur,Netherlands
1354,1327505A,2022,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Australia,India,66,2,68,4,52,1,186,7,India,field,Hyderabad,India
1354,1327505B,2022,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,Australia,50,2,98,1,39,1,187,4,India,field,Hyderabad,India
1355,1199535A,2019,Dubai International Cricket Stadium,Namibia,Singapore,52,2,97,2,42,3,191,7,Singapore,field,Dubai,Namibia
1355,1199535B,2019,Dubai International Cricket Stadium,Singapore,Namibia,45,4,54,5,5,1,104,10,Singapore,field,Dubai,Namibia
1356,1327277A,2022,Dubai International Cricket Stadium,India,Sri Lanka,44,1,91,2,38,4,173,7,Sri Lanka,field,Dubai,Sri Lanka
1356,1327277B,2022,Dubai International Cricket Stadium,Sri Lanka,India,57,0,75,3,42,0,174,3,Sri Lanka,field,Dubai,Sri Lanka
1357,1299566A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,30,2,51,4,36,2,117,8,Oman,field,Al Amarat,Nepal
1357,1299566B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,25,3,49,4,4,2,78,9,Oman,field,Al Amarat,Nepal
1358,1299572A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Germany,57,0,88,2,46,3,191,5,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1358,1299572B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,United Arab Emirates,44,1,81,4,42,4,167,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1359,1303316A,2022,"County Ground, Bristol",South Africa,Ireland,42,1,86,3,54,2,182,6,Ireland,field,Bristol,South Africa
1359,1303316B,2022,"County Ground, Bristol",Ireland,South Africa,40,3,73,5,25,1,138,9,Ireland,field,Bristol,South Africa
1360,1202008A,2019,Kinrara Academy Oval,Vanuatu,Malaysia,60,1,97,1,31,3,188,5,Vanuatu,bat,Kuala Lumpur,Vanuatu
1360,1202008B,2019,Kinrara Academy Oval,Malaysia,Vanuatu,40,1,70,5,27,1,137,7,Vanuatu,bat,Kuala Lumpur,Vanuatu
1361,1298136A,2022,"GMHBA Stadium, South Geelong, Victoria",United Arab Emirates,Netherlands,31,0,60,3,20,5,111,8,United Arab Emirates,bat,Geelong,Netherlands
1361,1298136B,2022,"GMHBA Stadium, South Geelong, Victoria",Netherlands,United Arab Emirates,42,2,44,3,26,1,112,6,United Arab Emirates,bat,Geelong,Netherlands
1362,287873A,2007,Kingsmead,India,England,41,0,107,2,70,2,218,4,India,bat,Durban,India
1362,287873B,2007,Kingsmead,England,India,57,1,94,2,49,3,200,6,India,bat,Durban,India
1363,951359A,2016,Eden Gardens,New Zealand,Bangladesh,39,1,66,3,40,4,145,8,New Zealand,bat,Kolkata,New Zealand
1363,951359B,2016,Eden Gardens,Bangladesh,New Zealand,30,2,40,7,0,0,70,9,New Zealand,bat,Kolkata,New Zealand
1364,287867A,2007,Newlands,South Africa,England,43,3,61,3,50,2,154,8,England,field,Cape Town,South Africa
1364,287867B,2007,Newlands,England,South Africa,31,3,76,2,28,2,135,7,England,field,Cape Town,South Africa
1365,995469A,2016,R Premadasa Stadium,Sri Lanka,Australia,46,2,53,4,29,2,128,8,Sri Lanka,bat,Colombo,Australia
1365,995469B,2016,R Premadasa Stadium,Australia,Sri Lanka,75,0,41,4,14,1,130,5,Sri Lanka,bat,Colombo,Australia
