,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
0,1217744A,2020,Terdthai Cricket Ground,Thailand,Nepal,13,2,38,4,15,3,66,9,Thailand,bat,Bangkok,Nepal,ACC Eastern Region T20
0,1217744B,2020,Terdthai Cricket Ground,Nepal,Thailand,72,1,0,0,0,0,72,1,Thailand,bat,Bangkok,Nepal,ACC Eastern Region T20
1,1268190A,2021,Marsa Sports Club,Malta,Belgium,27,2,43,4,44,2,114,8,Belgium,field,Marsa,Belgium,Belgium tour of Malta
1,1268190B,2021,Marsa Sports Club,Belgium,Malta,37,4,56,1,22,0,115,5,Belgium,field,Marsa,Belgium,Belgium tour of Malta
2,1257406A,2021,"Wanderers Cricket Ground, Windhoek",Namibia,Uganda,58,0,79,2,52,1,189,3,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia
2,1257406B,2021,"Wanderers Cricket Ground, Windhoek",Uganda,Namibia,29,2,77,3,18,3,124,8,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia
3,1336952A,2022,Sano International Cricket Ground,Japan,South Korea,63,1,110,3,45,4,218,8,Japan,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
3,1336952B,2022,Sano International Cricket Ground,South Korea,Japan,48,3,98,2,24,1,170,6,Japan,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
4,930579A,2015,Sheikh Zayed Stadium,Oman,Hong Kong,46,3,53,1,50,0,149,4,Hong Kong,field,Abu Dhabi,Hong Kong,Hong Kong v Oman T20I Series
4,930579B,2015,Sheikh Zayed Stadium,Hong Kong,Oman,41,2,86,0,28,0,155,2,Hong Kong,field,Abu Dhabi,Hong Kong,Hong Kong v Oman T20I Series
5,1142919A,2018,Harare Sports Club,Australia,Pakistan,54,0,93,3,36,5,183,8,Australia,bat,,Pakistan,Zimbabwe Twenty20 Tri-Series
5,1142919B,2018,Harare Sports Club,Pakistan,Australia,48,3,106,1,33,0,187,4,Australia,bat,,Pakistan,Zimbabwe Twenty20 Tri-Series
6,356012A,2009,Kennington Oval,Pakistan,Ireland,38,1,91,2,30,2,159,5,Pakistan,bat,London,Pakistan,ICC World Twenty20
6,356012B,2009,Kennington Oval,Ireland,Pakistan,37,1,61,3,22,5,120,9,Pakistan,bat,London,Pakistan,ICC World Twenty20
7,1168114A,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,64,1,97,3,49,2,210,6,Ireland,field,Dehra Dun,Afghanistan,Ireland tour of India
7,1168114B,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,Afghanistan,66,1,87,3,25,3,178,7,Ireland,field,Dehra Dun,Afghanistan,Ireland tour of India
8,1256724A,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,58,0,55,4,66,0,179,4,West Indies,bat,Bridgetown,West Indies,England tour of West Indies
8,1256724B,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,56,2,68,4,38,4,162,10,West Indies,bat,Bridgetown,West Indies,England tour of West Indies
9,1201668A,2019,La Manga Club Bottom Ground,Portugal,Spain,18,2,47,3,22,1,87,6,Spain,field,Murcia,Spain,Iberia Cup
9,1201668B,2019,La Manga Club Bottom Ground,Spain,Portugal,39,1,50,1,0,0,89,2,Spain,field,Murcia,Spain,Iberia Cup
10,356006A,2009,Lord's,India,West Indies,40,3,69,1,44,3,153,7,India,bat,London,West Indies,ICC World Twenty20
10,356006B,2009,Lord's,West Indies,India,32,1,83,2,41,0,156,3,India,bat,London,West Indies,ICC World Twenty20
11,800479A,2016,Newlands,England,South Africa,50,1,56,5,28,2,134,8,South Africa,field,Cape Town,South Africa,England in South Africa T20I Series
11,800479B,2016,Newlands,South Africa,England,35,2,63,2,37,3,135,7,South Africa,field,Cape Town,South Africa,England in South Africa T20I Series
12,1310942A,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,48,2,56,4,23,1,127,7,Zimbabwe,field,Bulawayo,Namibia,Namibia tour of Zimbabwe
12,1310942B,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,37,2,47,3,11,4,95,9,Zimbabwe,field,Bulawayo,Namibia,Namibia tour of Zimbabwe
13,1201683A,2019,Indian Association Ground,Zimbabwe,Nepal,43,2,87,1,30,1,160,4,Nepal,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series
13,1201683B,2019,Indian Association Ground,Nepal,Zimbabwe,39,3,55,3,26,3,120,9,Nepal,field,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series
14,1332507A,2022,"Willowmoore Park, Benoni",Botswana,Ghana,41,2,74,3,31,3,146,8,Ghana,field,Benoni,Botswana,Africa Cricket Association Cup
14,1332507B,2022,"Willowmoore Park, Benoni",Ghana,Botswana,27,1,79,4,29,4,135,9,Ghana,field,Benoni,Botswana,Africa Cricket Association Cup
15,540173A,2012,"Beausejour Stadium, Gros Islet",West Indies,Australia,38,1,82,2,30,3,150,6,West Indies,bat,St Lucia,Australia,Australia in West Indies T20I Series
15,540173B,2012,"Beausejour Stadium, Gros Islet",Australia,West Indies,52,1,77,1,24,0,153,2,West Indies,bat,St Lucia,Australia,Australia in West Indies T20I Series
16,875541A,2015,"The Village, Malahide",Afghanistan,Hong Kong,41,1,79,2,41,4,161,7,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier
16,875541B,2015,"The Village, Malahide",Hong Kong,Afghanistan,37,1,76,2,49,2,162,5,Afghanistan,bat,Dublin,Hong Kong,ICC World Twenty20 Qualifier
17,287878A,2007,Kingsmead,India,Australia,36,1,105,2,47,2,188,5,India,bat,Durban,India,ICC World Twenty20
17,287878B,2007,Kingsmead,Australia,India,37,1,111,2,25,4,173,7,India,bat,Durban,India,ICC World Twenty20
18,1299579A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Philippines,49,2,91,1,51,2,191,5,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A
18,1299579B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Bahrain,29,2,49,5,22,2,100,9,Bahrain,bat,Al Amarat,Bahrain,ICC Men's T20 World Cup Qualifier A
19,1072206A,2016,ICC Academy,Afghanistan,United Arab Emirates,41,0,57,4,63,2,161,6,Afghanistan,bat,Dubai,Afghanistan,Afghanistan in United Arab Emirates T20I Series
19,1072206B,2016,ICC Academy,United Arab Emirates,Afghanistan,40,1,80,4,30,2,150,7,Afghanistan,bat,Dubai,Afghanistan,Afghanistan in United Arab Emirates T20I Series
20,1130747A,2018,Sylhet International Cricket Stadium,Sri Lanka,Bangladesh,63,0,95,2,52,2,210,4,Bangladesh,field,,Sri Lanka,Sri Lanka tour of Bangladesh
20,1130747B,2018,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,40,3,80,3,15,3,135,9,Bangladesh,field,,Sri Lanka,Sri Lanka tour of Bangladesh
21,546462A,2012,Dubai International Cricket Stadium,Canada,Ireland,35,1,41,5,30,2,106,8,Canada,bat,,Ireland,ICC World Twenty20 Qualifier
21,546462B,2012,Dubai International Cricket Stadium,Ireland,Canada,82,0,27,0,0,0,109,0,Canada,bat,,Ireland,ICC World Twenty20 Qualifier
22,1152840A,2019,Sophia Gardens,Pakistan,England,38,2,99,2,36,2,173,6,Pakistan,bat,Cardiff,England,Pakistan tour of England
22,1152840B,2019,Sophia Gardens,England,Pakistan,48,1,89,2,38,0,175,3,Pakistan,bat,Cardiff,England,Pakistan tour of England
23,1199502A,2019,Sheikh Zayed Stadium,United Arab Emirates,Oman,30,3,51,2,27,4,108,9,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier
23,1199502B,2019,Sheikh Zayed Stadium,Oman,United Arab Emirates,32,1,61,2,16,0,109,3,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier
24,1275274A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Luxembourg,Hungary,54,0,80,2,45,3,179,5,Hungary,field,Ilfov County,Luxembourg,Continental Cup
24,1275274B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,Luxembourg,46,1,93,4,38,3,177,8,Hungary,field,Ilfov County,Luxembourg,Continental Cup
25,1322338A,2022,"Hagley Oval, Christchurch",New Zealand,Bangladesh,54,1,107,1,47,3,208,5,Bangladesh,field,Christchurch,New Zealand,New Zealand T20I Tri-Series
25,1322338B,2022,"Hagley Oval, Christchurch",Bangladesh,New Zealand,52,2,83,4,25,1,160,7,Bangladesh,field,Christchurch,New Zealand,New Zealand T20I Tri-Series
26,439507A,2010,Dubai International Cricket Stadium,Afghanistan,Netherlands,37,3,52,3,39,3,128,9,Netherlands,field,,Netherlands,ICC World Twenty20 Qualifier
26,439507B,2010,Dubai International Cricket Stadium,Netherlands,Afghanistan,47,0,66,3,19,2,132,5,Netherlands,field,,Netherlands,ICC World Twenty20 Qualifier
27,1199516A,2019,Sheikh Zayed Stadium,Canada,Nigeria,44,2,66,3,49,1,159,6,Canada,bat,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier
27,1199516B,2019,Sheikh Zayed Stadium,Nigeria,Canada,28,2,69,5,12,1,109,8,Canada,bat,Abu Dhabi,Canada,ICC Men's T20 World Cup Qualifier
28,298804A,2008,New Wanderers Stadium,West Indies,South Africa,31,2,60,4,40,1,131,7,South Africa,field,Johannesburg,South Africa,West Indies in South Africa T20I Series
28,298804B,2008,New Wanderers Stadium,South Africa,West Indies,38,3,51,3,45,0,134,6,South Africa,field,Johannesburg,South Africa,West Indies in South Africa T20I Series
29,1299592A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,50,2,79,2,49,1,178,5,Ireland,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series
29,1299592B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,67,2,72,2,26,3,165,7,Ireland,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series
30,1197507A,2019,United Cricket Club Ground,Namibia,Botswana,58,0,76,4,59,0,193,4,Botswana,field,Windhoek,Namibia,Botswana tour of Namibia
30,1197507B,2019,United Cricket Club Ground,Botswana,Namibia,21,1,54,3,25,1,100,5,Botswana,field,Windhoek,Namibia,Botswana tour of Namibia
31,440946A,2010,Dubai International Cricket Stadium,England,Pakistan,39,1,71,0,38,4,148,5,Pakistan,field,,Pakistan,Pakistan v England T20I Series
31,440946B,2010,Dubai International Cricket Stadium,Pakistan,England,39,2,79,3,31,1,149,6,Pakistan,field,,Pakistan,Pakistan v England T20I Series
32,1283045A,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Tanzania,25,0,46,6,28,0,99,6,Sierra Leone,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
32,1283045B,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Sierra Leone,67,0,37,2,0,0,104,2,Sierra Leone,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
33,1283051A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Botswana,44,3,68,3,31,4,143,10,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
33,1283051B,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Tanzania,46,0,54,3,40,4,140,7,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
34,1332498A,2022,"Willowmoore Park, Benoni",Ghana,Mozambique,33,1,94,1,27,2,154,4,Ghana,bat,Benoni,Ghana,Africa Cricket Association Cup
34,1332498B,2022,"Willowmoore Park, Benoni",Mozambique,Ghana,25,1,68,3,33,0,126,4,Ghana,bat,Benoni,Ghana,Africa Cricket Association Cup
35,306989A,2007,Gymkhana Club Ground,Pakistan,Bangladesh,67,0,82,4,42,3,191,7,Bangladesh,field,Nairobi,Pakistan,Twenty20 Quadrangular (in Kenya)
35,306989B,2007,Gymkhana Club Ground,Bangladesh,Pakistan,68,1,68,4,25,1,161,6,Bangladesh,field,Nairobi,Pakistan,Twenty20 Quadrangular (in Kenya)
36,1286667A,2021,"Coolidge Cricket Ground, Antigua",Belize,United States of America,24,2,30,2,10,4,64,8,United States of America,field,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier
36,1286667B,2021,"Coolidge Cricket Ground, Antigua",United States of America,Belize,68,0,0,0,0,0,68,0,United States of America,field,Coolidge,United States of America,ICC Men's T20 World Cup Americas Region Qualifier
37,1310177A,2022,Marsa Sports Club,Czech Republic,Bulgaria,84,0,115,0,59,2,258,2,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup
37,1310177B,2022,Marsa Sports Club,Bulgaria,Czech Republic,47,0,95,1,28,5,170,6,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup
38,1310163A,2022,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,27,1,60,1,33,5,120,7,Norway,bat,Almeria,Guernsey,Spain Triangular T20I Series
38,1310163B,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Norway,36,1,65,1,25,0,126,2,Norway,bat,Almeria,Guernsey,Spain Triangular T20I Series
39,1286673A,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",United States of America,Bermuda,57,2,84,4,31,4,172,10,United States of America,bat,North Sound,United States of America,ICC Men's T20 World Cup Americas Region Qualifier
39,1286673B,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Bermuda,United States of America,34,2,92,5,23,1,149,8,United States of America,bat,North Sound,United States of America,ICC Men's T20 World Cup Americas Region Qualifier
40,1272094A,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,36,0,71,4,34,2,141,6,Bangladesh,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
40,1272094B,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,28,2,66,3,43,0,137,5,Bangladesh,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
41,1310188A,2022,"College Field, St Peter Port",Jersey,Guernsey,56,1,65,3,57,0,178,4,Guernsey,field,St Peter Port,Jersey,Inter-Insular T20 Series
41,1310188B,2022,"College Field, St Peter Port",Guernsey,Jersey,38,2,71,2,32,2,141,6,Guernsey,field,St Peter Port,Jersey,Inter-Insular T20 Series
42,1283092A,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,8,2,39,3,37,0,84,5,Sierra Leone,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
42,1283092B,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,37,0,48,0,0,0,85,0,Sierra Leone,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
43,534235A,2012,Edgbaston,England,South Africa,50,2,68,3,0,0,118,5,South Africa,field,Birmingham,England,South Africa in England T20I Series
43,534235B,2012,Edgbaston,South Africa,England,51,2,39,3,0,0,90,5,South Africa,field,Birmingham,England,South Africa in England T20I Series
44,1185315A,2020,SuperSport Park,South Africa,England,64,0,110,3,48,3,222,6,South Africa,bat,Centurion,England,England tour of South Africa
44,1185315B,2020,SuperSport Park,England,South Africa,62,1,108,3,56,1,226,5,South Africa,bat,Centurion,England,England tour of South Africa
45,914223A,2016,Seddon Park,Pakistan,New Zealand,34,1,93,2,41,4,168,7,Pakistan,bat,Hamilton,New Zealand,Pakistan in New Zealand T20I Series
45,914223B,2016,Seddon Park,New Zealand,Pakistan,59,0,89,0,23,0,171,0,Pakistan,bat,Hamilton,New Zealand,Pakistan in New Zealand T20I Series
46,534208A,2012,Trent Bridge,West Indies,England,29,2,80,2,63,0,172,4,West Indies,bat,Nottingham,England,
46,534208B,2012,Trent Bridge,England,West Indies,42,1,96,0,35,2,173,3,West Indies,bat,Nottingham,England,
47,802327A,2014,P Sara Oval,Nepal,Hong Kong,17,4,19,3,36,2,72,9,Hong Kong,field,Colombo,Hong Kong,Hong Kong v Nepal T20I Series
47,802327B,2014,P Sara Oval,Hong Kong,Nepal,12,2,38,4,23,1,73,7,Hong Kong,field,Colombo,Hong Kong,Hong Kong v Nepal T20I Series
48,1185314A,2020,Kingsmead,England,South Africa,55,1,81,4,68,2,204,7,South Africa,field,Durban,England,England tour of South Africa
48,1185314B,2020,Kingsmead,South Africa,England,69,0,86,3,47,3,202,6,South Africa,field,Durban,England,England tour of South Africa
49,1283093A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,17,1,69,7,4,2,90,10,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
49,1283093B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,17,4,50,1,4,4,71,9,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
50,1310162A,2022,"Desert Springs Cricket Ground, Almeria",Spain,Norway,21,2,75,1,33,3,129,6,Spain,bat,Almeria,Spain,Spain Triangular T20I Series
50,1310162B,2022,"Desert Springs Cricket Ground, Almeria",Norway,Spain,23,2,34,5,21,1,78,8,Spain,bat,Almeria,Spain,Spain Triangular T20I Series
51,1272095A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,40,1,48,2,40,0,128,3,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh
51,1272095B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,30,2,36,4,10,2,76,8,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh
52,1286672A,2021,"Coolidge Cricket Ground, Antigua",Belize,Panama,30,2,75,2,38,4,143,8,Belize,bat,Coolidge,Belize,ICC Men's T20 World Cup Americas Region Qualifier
52,1286672B,2021,"Coolidge Cricket Ground, Antigua",Panama,Belize,39,1,56,4,36,3,131,8,Belize,bat,Coolidge,Belize,ICC Men's T20 World Cup Americas Region Qualifier
53,1203678A,2020,"Warner Park, St Kitts",Ireland,West Indies,61,1,61,6,16,2,138,9,West Indies,field,Basseterre,West Indies,Ireland tour of West Indies
53,1203678B,2020,"Warner Park, St Kitts",West Indies,Ireland,57,0,83,1,0,0,140,1,West Indies,field,Basseterre,West Indies,Ireland tour of West Indies
54,1310176A,2022,Marsa Sports Club,Malta,Czech Republic,56,1,80,1,28,5,164,7,Czech Republic,field,Marsa,Malta,Valletta Cup
54,1310176B,2022,Marsa Sports Club,Czech Republic,Malta,54,1,67,5,41,2,162,8,Czech Republic,field,Marsa,Malta,Valletta Cup
55,1283050A,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Sierra Leone,30,4,38,2,21,2,89,8,Cameroon,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier
55,1283050B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Cameroon,30,3,60,1,0,0,90,4,Cameroon,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier
56,1283044A,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Cameroon,61,0,117,2,31,3,209,5,Cameroon,field,Kigali City,Mozambique,ICC Men's T20 World Cup Sub Regional Africa Qualifier
56,1283044B,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Mozambique,24,6,14,3,0,0,38,9,Cameroon,field,Kigali City,Mozambique,ICC Men's T20 World Cup Sub Regional Africa Qualifier
57,1327269A,2022,Dubai International Cricket Stadium,Sri Lanka,Afghanistan,41,1,36,6,28,1,105,8,Afghanistan,field,Dubai,Afghanistan,Asia Cup
57,1327269B,2022,Dubai International Cricket Stadium,Afghanistan,Sri Lanka,83,0,23,2,0,0,106,2,Afghanistan,field,Dubai,Afghanistan,Asia Cup
58,1299593A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,43,3,64,1,28,2,135,6,Nepal,field,Al Amarat,Nepal,Oman Quadrangular T20I Series
58,1299593B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,33,2,72,1,32,1,137,4,Nepal,field,Al Amarat,Nepal,Oman Quadrangular T20I Series
59,1144992A,2018,Sydney Cricket Ground,Australia,India,49,0,71,3,44,1,164,4,Australia,bat,,India,India tour of Australia
59,1144992B,2018,Sydney Cricket Ground,India,Australia,67,0,58,3,43,0,168,3,Australia,bat,,India,India tour of Australia
60,1199517A,2019,ICC Academy,Namibia,Scotland,40,1,71,2,48,2,159,5,Namibia,bat,Dubai,Namibia,ICC Men's T20 World Cup Qualifier
60,1199517B,2019,ICC Academy,Scotland,Namibia,34,2,64,4,37,2,135,8,Namibia,bat,Dubai,Namibia,ICC Men's T20 World Cup Qualifier
61,1275275A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,Malta,66,1,95,2,41,5,202,8,Malta,field,Ilfov County,Romania,Continental Cup
61,1275275B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,Romania,60,0,66,4,40,4,166,8,Malta,field,Ilfov County,Romania,Continental Cup
62,1199503A,2019,ICC Academy,Bermuda,Papua New Guinea,33,3,51,3,5,2,89,8,Papua New Guinea,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier
62,1199503B,2019,ICC Academy,Papua New Guinea,Bermuda,47,0,43,0,0,0,90,0,Papua New Guinea,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier
63,1322339A,2022,"Hagley Oval, Christchurch",Bangladesh,Pakistan,41,2,97,1,35,3,173,6,Bangladesh,bat,Christchurch,Pakistan,New Zealand T20I Tri-Series
63,1322339B,2022,"Hagley Oval, Christchurch",Pakistan,Bangladesh,46,0,91,2,40,1,177,3,Bangladesh,bat,Christchurch,Pakistan,New Zealand T20I Tri-Series
64,1303308A,2022,"The Village, Malahide, Dublin",India,Ireland,54,1,129,0,42,6,225,7,India,bat,Dublin,India,India tour of Ireland
64,1303308B,2022,"The Village, Malahide, Dublin",Ireland,India,73,1,101,3,47,1,221,5,India,bat,Dublin,India,India tour of Ireland
65,1130746A,2018,"Shere Bangla National Stadium, Mirpur",Bangladesh,Sri Lanka,71,1,83,1,39,2,193,4,Bangladesh,bat,Dhaka,Sri Lanka,Sri Lanka tour of Bangladesh
65,1130746B,2018,"Shere Bangla National Stadium, Mirpur",Sri Lanka,Bangladesh,67,1,114,3,13,0,194,4,Bangladesh,bat,Dhaka,Sri Lanka,Sri Lanka tour of Bangladesh
66,1072207A,2016,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,56,1,64,1,59,1,179,3,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series
66,1072207B,2016,Dubai International Cricket Stadium,Afghanistan,United Arab Emirates,55,1,85,4,43,0,183,5,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series
67,546477A,2012,Dubai International Cricket Stadium,Afghanistan,Ireland,55,2,63,2,34,3,152,7,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier
67,546477B,2012,Dubai International Cricket Stadium,Ireland,Afghanistan,62,2,75,2,19,1,156,5,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier
68,1299578A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Canada,31,1,72,3,28,1,131,5,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A
68,1299578B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Germany,40,1,64,1,28,2,132,4,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A
69,489212A,2011,"Beausejour Stadium, Gros Islet",West Indies,Pakistan,47,0,71,2,32,4,150,6,West Indies,bat,St Lucia,West Indies,
69,489212B,2011,"Beausejour Stadium, Gros Islet",Pakistan,West Indies,47,2,63,5,33,2,143,9,West Indies,bat,St Lucia,West Indies,
70,1142501A,2018,Hazelaarweg,Netherlands,Ireland,52,2,65,3,27,4,144,9,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series
70,1142501B,2018,Hazelaarweg,Ireland,Netherlands,34,2,57,5,49,1,140,8,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series
71,287879A,2007,New Wanderers Stadium,India,Pakistan,40,2,74,2,43,1,157,5,India,bat,Johannesburg,India,ICC World Twenty20
71,287879B,2007,New Wanderers Stadium,Pakistan,India,53,3,51,4,48,3,152,10,India,bat,Johannesburg,India,ICC World Twenty20
72,951353A,2016,M Chinnaswamy Stadium,India,Bangladesh,42,1,72,3,32,2,146,6,Bangladesh,field,Bangalore,India,World T20
72,951353B,2016,M Chinnaswamy Stadium,Bangladesh,India,45,1,68,4,32,4,145,9,Bangladesh,field,Bangalore,India,World T20
73,298795A,2007,New Wanderers Stadium,New Zealand,South Africa,39,2,58,3,32,1,129,6,South Africa,field,Johannesburg,South Africa,
73,298795B,2007,New Wanderers Stadium,South Africa,New Zealand,40,2,69,2,22,2,131,6,South Africa,field,Johannesburg,South Africa,
74,951347A,2016,M Chinnaswamy Stadium,Bangladesh,Australia,33,2,75,2,48,0,156,4,Australia,field,Bangalore,Australia,World T20
74,951347B,2016,M Chinnaswamy Stadium,Australia,Bangladesh,51,0,84,4,22,3,157,7,Australia,field,Bangalore,Australia,World T20
75,439499A,2010,Dubai International Cricket Stadium,Canada,Kenya,37,2,68,2,33,5,138,9,Kenya,field,,Kenya,ICC World Twenty20 Qualifier
75,439499B,2010,Dubai International Cricket Stadium,Kenya,Canada,76,0,65,0,0,0,141,0,Kenya,field,,Kenya,ICC World Twenty20 Qualifier
76,1077948A,2017,"Queen's Park Oval, Port of Spain",Pakistan,West Indies,33,1,58,5,41,3,132,9,West Indies,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series
76,1077948B,2017,"Queen's Park Oval, Port of Spain",West Indies,Pakistan,35,1,60,4,34,2,129,7,West Indies,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series
77,1332506A,2022,"Willowmoore Park, Benoni",Cameroon,Kenya,25,1,23,8,0,0,48,9,Kenya,field,Benoni,Kenya,Africa Cricket Association Cup
77,1332506B,2022,"Willowmoore Park, Benoni",Kenya,Cameroon,50,1,0,0,0,0,50,1,Kenya,field,Benoni,Kenya,Africa Cricket Association Cup
78,1201682A,2019,Indian Association Ground,Singapore,Zimbabwe,62,0,98,5,21,4,181,9,Singapore,bat,Singapore,Singapore,Singapore Twenty20 Tri-Series
78,1201682B,2019,Indian Association Ground,Zimbabwe,Singapore,64,2,101,2,12,3,177,7,Singapore,bat,Singapore,Singapore,Singapore Twenty20 Tri-Series
79,1201669A,2019,La Manga Club Bottom Ground,Gibraltar,Portugal,41,1,43,3,29,1,113,5,Gibraltar,bat,Murcia,Portugal,Iberia Cup
79,1201669B,2019,La Manga Club Bottom Ground,Portugal,Gibraltar,26,2,57,2,33,0,116,4,Gibraltar,bat,Murcia,Portugal,Iberia Cup
80,350476A,2009,SuperSport Park,South Africa,Australia,36,2,83,2,37,1,156,5,Australia,field,Centurion,South Africa,Australia in South Africa T20I Series
80,350476B,2009,SuperSport Park,Australia,South Africa,42,2,64,4,33,2,139,8,Australia,field,Centurion,South Africa,Australia in South Africa T20I Series
81,356007A,2009,Kennington Oval,South Africa,West Indies,54,1,97,2,32,4,183,7,West Indies,field,London,South Africa,ICC World Twenty20
81,356007B,2009,Kennington Oval,West Indies,South Africa,45,2,88,3,30,4,163,9,West Indies,field,London,South Africa,ICC World Twenty20
82,560922A,2012,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,43,1,81,3,53,1,177,5,West Indies,bat,Lauderhill,West Indies,New Zealand v West Indies T20I Series
