,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
347,1299596A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,35,3,64,4,28,3,127,10,Nepal,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
347,1299596B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Ireland,40,2,46,2,25,4,111,8,Nepal,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
348,1299582A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,40,3,63,2,28,3,131,8,Bahrain,bat,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A
348,1299582B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Bahrain,41,0,91,2,0,0,132,2,Bahrain,bat,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A
349,1327278A,2022,Sharjah Cricket Stadium,Afghanistan,Pakistan,48,2,56,3,25,1,129,6,Pakistan,field,Sharjah,Pakistan,Asia Cup
349,1327278B,2022,Sharjah Cricket Stadium,Pakistan,Afghanistan,35,1,56,1,40,4,131,6,Pakistan,field,Sharjah,Pakistan,Asia Cup
350,884351A,2016,Newlands,South Africa,Australia,68,1,63,2,47,1,178,4,South Africa,bat,Cape Town,Australia,Australia in South Africa T20I Series
350,884351B,2016,Newlands,Australia,South Africa,51,0,96,2,34,2,181,4,South Africa,bat,Cape Town,Australia,Australia in South Africa T20I Series
351,1299569A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Bahrain,39,0,65,5,2,2,106,7,Bahrain,field,Al Amarat,Bahrain,ICC Men’s T20 World Cup Qualifier A
351,1299569B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Germany,33,2,74,1,0,0,107,3,Bahrain,field,Al Amarat,Bahrain,ICC Men’s T20 World Cup Qualifier A
352,426392A,2010,Edgbaston,Pakistan,Australia,43,1,94,3,30,3,167,7,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series
352,426392B,2010,Edgbaston,Australia,Pakistan,56,1,66,3,22,5,144,9,Pakistan,bat,Birmingham,Pakistan,MCC Spirit of Cricket T20I Series
353,1288316A,2022,"Gaddafi Stadium, Lahore",Pakistan,Australia,56,0,65,4,41,4,162,8,Australia,field,Lahore,Australia,Australia tour of Pakistan
353,1288316B,2022,"Gaddafi Stadium, Lahore",Australia,Pakistan,63,1,80,4,20,2,163,7,Australia,field,Lahore,Australia,Australia tour of Pakistan
354,1214671A,2020,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Bangladesh,31,1,66,3,22,3,119,7,Bangladesh,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh
354,1214671B,2020,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,44,0,76,1,0,0,120,1,Bangladesh,field,Dhaka,Bangladesh,Zimbabwe tour of Bangladesh
